title,product_title,product_id
YA25N - Burndy,98070A,
CLNS-1/0-12 - Ilsco,98070A,
YA26 - Burndy,98071,
CLNS-2/0-38 - Ilsco,98071,
YA26N - Burndy,98071A,
YA26TC14 - Burndy,98071B,
CLNS-2/0-14 - Ilsco,98071B,
YA27 - Burndy,98072,
CLNS-3/0-12 - Ilsco,98072,
CLNS-3/0-38 - Ilsco,98072A,
CLNS-3/0-14 - Ilsco,98072B,
YA28 - Burndy,98073,
CLNS-4/0-12 - Ilsco,98073,
YA28TC38 - Burndy,98073A,
CLNS-4/0-38 - Ilsco,98073A,
CLNS-4/0-14 - Ilsco,98073B,
YA29 - Burndy,98074,
CLNS-250-12 - Ilsco,98073B,
CLNS-250-38 - Ilsco,98074A,
YA30 - Burndy,98075,
CLNS-300-12 - Ilsco,98075,
YA31 - Burndy,98076,
CLNS-350-12 - Ilsco,98076,
CLNS-350-58 - Ilsco,98076A,
YA32N - Burndy,98077,
CLNS-400-12 - Ilsco,98077,
YA32N - Burndy,98078,
CLNS-400-58 - Ilsco,98078,
YA34N - Burndy,98079,
CLNS-500-12 - Ilsco,98079,
YA34 - Burndy,98080,
CLNS-500-58 - Ilsco,98080,
YA36 - Burndy,98081,
CLNS-600-58 - Ilsco,98081,
YA38N - Burndy,98081A,
CLNS-700-12 - Ilsco,98081A,
YA38 - Burndy,98081B,
CLNS-700-58 - Ilsco,98081B,
YA39 - Burndy,98082,
CLNS-750-58 - Ilsco,98082,
YA39N - Burndy,98082A,
CLNS-750-12 - Ilsco,98082A,
YA44N - Burndy,98082B,
CLNS-1000-12 - Ilsco,98082B,
YA44 - Burndy,98082C,
CLNS-1000-58 - Ilsco,98082C,
YA8C-L2TC10 - Burndy,98044,
CSWD-8-10-58 - Ilsco,98044,
YA8C-L2TC14 - Burndy,98044A,
CSWD-8-14-58 - Ilsco,98044A,
Y6C-2L - Burndy,98045,
CSWD-6-14-58 - Ilsco,98045,
YA6CL-2TC14E1 - Burndy,98045A,
CSWD-6-14-1 - Ilsco,98045A,
YA6CL-2TC338 - Burndy,98045B,
CSWD-6-38-1 - Ilsco,98045B,
CSWD-6-10-34 - Ilsco,98045C,
YA4C-2L - Burndy,98046,
CSWD-4-14-58 - Ilsco,98046,
YA4CL-2TC14E1 - Burndy,98046A,
CSWD-4-14-1 - Ilsco,98046A,
YA4CL-2TC38 - Burndy,98046B,
CSWD-4-38-1 - Ilsco,98046B,
YA4CL-2TC516 - Burndy,98046C,
CSWD-4-516-1 - Ilsco,98046C,
YA2C-2L - Burndy,98047,
CSWD-2-516-34 - Ilsco,98047,
