title,product_slug,product_title
YA30L7 - Burndy,98035,98035
CSWS-300-58 - Ilsco,98035,98035
YA30L24 - Burndy,98036a,98036A
CSWS-300-38 - Ilsco,98036a,98036A
YA31L - Burndy,98036,98036
CSWS-350-12 - Ilsco,98036,98036
YA31L7 - Burndy,98037,98037
CSWS-350-58 - Ilsco,98037,98037
YA32LN - Burndy,98038,98038
CSWS-400-12 - Ilsco,98038,98038
YA32L - Burndy,98039,98039
CSWS-400-58 - Ilsco,98039,98039
YA34L6 - Burndy,98040,98040
CSWS-500-12 - Ilsco,98040,98040
YA34L - Burndy,98041,98041
CSWS-500-58 - Ilsco,98041,98041
YA36L - Burndy,98042,98042
CSWS-600-58 - Ilsco,98042,98042
YA36L11 - Burndy,98042a,98042A
CSWS-600-12 - Ilsco,98042a,98042A
YA38L - Burndy,98042b,98042B
CSWS-700-58 - Ilsco,98042b,98042B
CSWS-700-12 - Ilsco,98042c,98042C
YA39L - Burndy,98043,98043
CSWS-750-58 - Ilsco,98043,98043
YA39L6 - Burndy,98043a,98043A
CSWS-750-12 - Ilsco,98043a,98043A
YA44L - Burndy,98043b,98043B
CSWS-1000-58 - Ilsco,98043b,98043B
YA44L2 - Burndy,98043c,98043C
CSWS-1000-12 - Ilsco,98043c,98043C
YA8CTC14 - Burndy,98064,98064
CLNS-8-14 - Ilsco,98064,98064
YA8CTC10 - Burndy,98064a,98064A
CLNS-8-10 - Ilsco,98064a,98064A
YA8CTC38 - Burndy,98064b,98064B
CLNS-8-38 - Ilsco,98064b,98064B
YA6C - Burndy,98065,98065
CLNS-6-14 - Ilsco,98065,98065
YA6CTC38 - Burndy,98065a,98065A
CLNS-6-38 - Ilsco,98065a,98065A
YA6CTC516 - Burndy,98065b,98065B
CLNS-6-516 - Ilsco,98065b,98065B
YA6CTC10 - Burndy,98065c,98065C
CLNS-6-10 - Ilsco,98065c,98065C
YA4C - Burndy,98066,98066
CLNS-4-14 - Ilsco,98066,98066
YA4CTC38 - Burndy,98066a,98066A
CLNS-4-38 - Ilsco,98066a,98066A
CLNS-4-516 - Ilsco,98066b,98066B
YA4CTC10 - Burndy,98066c,98066C
CLNS-4-10 - Ilsco,98066c,98066C
CLNS-3-10 - Ilsco,98066d,98066D
YA3CTC14 - Burndy,98066e,98066E
CLNS-3-14 - Ilsco,98066e,98066E
YA3C - Burndy,98066f,98066F
CLNS-3-516 - Ilsco,98066f,98066F
YA3CTC38 - Burndy,98066g,98066G
CLNS-3-38 - Ilsco,98066g,98066G
YA2C - Burndy,98067,98067
CLNS-2-516 - Ilsco,98067,98067
YA2CTC38 - Burndy,98067a,98067A
CLNS-2-38 - Ilsco,98067a,98067A
YA2CTC14 - Burndy,98067b,98067B
CLNS-2-14 - Ilsco,98067b,98067B
YA2CTC10 - Burndy,98067c,98067C
CLNS-2-10 - Ilsco,98067c,98067C
YA1C - Burndy,98068,98068
CLNS-1-516 - Ilsco,98068,98068
YA1CTC38 - Burndy,98068a,98068A
CLNS-1-38 - Ilsco,98068a,98068A
YA1CTC10 - Burndy,98068b,98068B
CLNS-1-10 - Ilsco,98068b,98068B
YA25 - Burndy,98069,98069
CLNS-1/0-516 - Ilsco,98069,98069
YA25TC10 - Burndy,98069a,98069A
CLNS-1/0-10 - Ilsco,98069a,98069A
YA25TC14 - Burndy,98069b,98069B
CLNS-1/0-14 - Ilsco,98069b,98069B
YA25TC38 - Burndy,98070,98070
CLNS-1/0-38 - Ilsco,98070,98070
YA25N - Burndy,98070a,98070A
CLNS-1/0-12 - Ilsco,98070a,98070A
YA26 - Burndy,98071,98071
CLNS-2/0-38 - Ilsco,98071,98071
YA26N - Burndy,98071a,98071A
YA26TC14 - Burndy,98071b,98071B
CLNS-2/0-14 - Ilsco,98071b,98071B
YA27 - Burndy,98072,98072
CLNS-3/0-12 - Ilsco,98072,98072
CLNS-3/0-38 - Ilsco,98072a,98072A
CLNS-3/0-14 - Ilsco,98072b,98072B
YA28 - Burndy,98073,98073
CLNS-4/0-12 - Ilsco,98073,98073
YA28TC38 - Burndy,98073a,98073A
CLNS-4/0-38 - Ilsco,98073a,98073A
CLNS-4/0-14 - Ilsco,98073b,98073B
YA29 - Burndy,98074,98074
CLNS-250-12 - Ilsco,98073b,98073B
CLNS-250-38 - Ilsco,98074a,98074A
YA30 - Burndy,98075,98075
CLNS-300-12 - Ilsco,98075,98075
YA31 - Burndy,98076,98076
CLNS-350-12 - Ilsco,98076,98076
CLNS-350-58 - Ilsco,98076a,98076A
YA32N - Burndy,98077,98077
CLNS-400-12 - Ilsco,98077,98077
YA32N - Burndy,98078,98078
CLNS-400-58 - Ilsco,98078,98078
YA34N - Burndy,98079,98079
CLNS-500-12 - Ilsco,98079,98079
YA34 - Burndy,98080,98080
CLNS-500-58 - Ilsco,98080,98080
YA36 - Burndy,98081,98081
CLNS-600-58 - Ilsco,98081,98081
YA38N - Burndy,98081a,98081A
CLNS-700-12 - Ilsco,98081a,98081A
YA38 - Burndy,98081b,98081B
CLNS-700-58 - Ilsco,98081b,98081B
YA39 - Burndy,98082,98082
CLNS-750-58 - Ilsco,98082,98082
YA39N - Burndy,98082a,98082A
CLNS-750-12 - Ilsco,98082a,98082A
YA44N - Burndy,98082b,98082B
CLNS-1000-12 - Ilsco,98082b,98082B
YA44 - Burndy,98082c,98082C
CLNS-1000-58 - Ilsco,98082c,98082C
YA8C-L2TC10 - Burndy,98044,98044
CSWD-8-10-58 - Ilsco,98044,98044
YA8C-L2TC14 - Burndy,98044a,98044A
CSWD-8-14-58 - Ilsco,98044a,98044A
Y6C-2L - Burndy,98045,98045
CSWD-6-14-58 - Ilsco,98045,98045
YA6CL-2TC14E1 - Burndy,98045a,98045A
CSWD-6-14-1 - Ilsco,98045a,98045A
YA6CL-2TC338 - Burndy,98045b,98045B
CSWD-6-38-1 - Ilsco,98045b,98045B
CSWD-6-10-34 - Ilsco,98045c,98045C
YA4C-2L - Burndy,98046,98046
CSWD-4-14-58 - Ilsco,98046,98046
YA4CL-2TC14E1 - Burndy,98046a,98046A
CSWD-4-14-1 - Ilsco,98046a,98046A
YA4CL-2TC38 - Burndy,98046b,98046B
CSWD-4-38-1 - Ilsco,98046b,98046B
YA4CL-2TC516 - Burndy,98046c,98046C
CSWD-4-516-1 - Ilsco,98046c,98046C
YA2C-2L - Burndy,98047,98047
CSWD-2-516-34 - Ilsco,98047,98047
YA2CL-2TC14 - Burndy,98047a,98047A
CSWD-2-14-58 - Ilsco,98047a,98047A
YA2CL-2TC38 - Burndy,98047b,98047B
CSWD-2-38-1 - Ilsco,98047b,98047B
YA2CL-2TC14E2 - Burndy,98047c,98047C
CSWD-2-14-34 - Ilsco,98047c,98047C
YA2CL-2TC14E1 - Burndy,98047d,98047D
CSWD-2-14-1 - Ilsco,98047d,98047D
YA1CL-2TC14 - Burndy,98048,98048
CSWD-1-14-58 - Ilsco,98048,98048
CSWD-1-516-1 - Ilsco,98048a,98048A
YA1CL-2TC38 - Burndy,98048b,98048B
CSWD-1-38-1 - Ilsco,98048b,98048B
CSWD-1/0-516-78 - Ilsco,98049,98049
YA25L-2TC38 - Burndy,98050,98050
CSWD-1/0-38-1 - Ilsco,98050,98050
YA26L-2TC38 - Burndy,98051,98051
CSWD-2/0-38-1 - Ilsco,98051,98051
YA26-2LN - Burndy,98052,98052
CSWD-2/0-12-134 - Ilsco,98052,98052
YA27-2LN - Burndy,98053,98053
CSWD-3/0-12-134 - Ilsco,98053,98053
YA27L-2TC38 - Burndy,98053a,98053A
CSWD-3/0-38-1 - Ilsco,98053a,98053A
CSWD-3/0-516-1 - Ilsco,98053b,98053B
YA28-2LN - Burndy,98054,98054
CSWD-4/0-12-134 - Ilsco,98054,98054
YA28L-2TC38 - Burndy,98055,98055
CSWD-4/0-38-1 - Ilsco,98055,98055
YA28L-2TC14E1 - Burndy,98055a,98055A
CSWD-4/0-14-1 - Ilsco,98055a,98055A
YA29L-2TC38 - Burndy,98056a,98056A
CSWD-250-38-1 - Ilsco,98056a,98056A
YA29-2LN - Burndy,98056b,98056B
CSWD-250-12-134 - Ilsco,98056b,98056B
YA30-2LN - Burndy,98057,98057
CSWD-300-12-134 - Ilsco,98057,98057
YA31-2LN - Burndy,98058,98058
CSWD-350-12-134 - Ilsco,98058,98058
YA31L-2TC38 - Burndy,98058a,98058A
CSWD-350-38-1 - Ilsco,98058a,98058A
YA32-2LN - Burndy,98059,98059
CSWD-400-12-134 - Ilsco,98059,98059
YA34-2LN - Burndy,98060,98060
CSWD-500-12-134 - Ilsco,98060,98060
YA34L-2TC38 - Burndy,98060a,98060A
CSWD-500-38-1 - Ilsco,98060a,98060A
YA36-2LN - Burndy,98062,98062
CSWD-600-12-134 - Ilsco,98062,98062
YA39-2LN - Burndy,98063,98063
CSWD-750-12-134 - Ilsco,98063,98063
CLND-8-10-58 - Ilsco,98083,98083
YA8C2TC14 - Burndy,98084,98084
CLND-8-14-58 - Ilsco,98084,98084
CLND-8-14-1 - Ilsco,98084b,98084B
YA8C2TC14E2 - Burndy,98084c,98084C
CLND-8-14-34 - Ilsco,98084c,98084C
YA8C2TC38 - Burndy,98084a,98084A
CLND-8-38-1 - Ilsco,98084a,98084A
YA6C2TC14 - Burndy,98085,98085
CLND-6-14-58 - Ilsco,98085,98085
CLND-6-14-12 - Ilsco,98085a,98085A
YA6C2N - Burndy,98085b,98085B
CLND-6-12-134 - Ilsco,98085b,98085B
YA6C2TC14E2 - Burndy,98085c,98085C
CLND-6-14-34 - Ilsco,98085c,98085C
YA6C2TC38 - Burndy,98085d,98085D
CLND-6-38-1 - Ilsco,98085d,98085D
YA6C2TC38E2 - Burndy,98085e,98085E
CLND-6-38-34 - Ilsco,98085e,98085E
YA4C2TC14 - Burndy,98086,98086
CLND-4-14-58 - Ilsco,98086,98086
YA4C2TC38 - Burndy,98086a,98086A
CLND-4-38-1 - Ilsco,98086a,98086A
YA4C2TC14E2 - Burndy,98086b,98086B
CLND-4-14-34 - Ilsco,98086b,98086B
CLND-4-516-1 - Ilsco,98086c,98086C
CLND-4-14-1 - Ilsco,98086d,98086D
YA4C2N - Burndy,98087,98087
CLND-4-12-134 - Ilsco,98087,98087
YA2C2TC516E2 - Burndy,98088,98088
CLND-2-516-34 - Ilsco,98088,98088
YA22C2TC38 - Burndy,98088a,98088A
CLND-2-38-1 - Ilsco,98088a,98088A
YA2C2TC14 - Burndy,98088b,98088B
CLND-2-14-58 - Ilsco,98088b,98088B
YA2C2TC14E2 - Burndy,98088c,98088C
CLND-2-14-34 - Ilsco,98088c,98088C
CLND-2-14-1 - Ilsco,98088d,98088D
YA2C2TC38E2 - Burndy,98088e,98088E
CLND-2-38-34 - Ilsco,98088e,98088E
YA2C2NTC38 - Burndy,98088f,98088F
CLND-2-38-134 - Ilsco,98088f,98088F
CLND-2-516-1 - Ilsco,98089a,98089A
YA2C2N - Burndy,98090,98090
CLND-2-12-134 - Ilsco,98090,98090
YA1C2TC14 - Burndy,98091,98091
CLND-1-14-58 - Ilsco,98091,98091
YA1C2TC38 - Burndy,98091a,98091A
CLND-1-38-1 - Ilsco,98091a,98091A
YA1C2TC14E2 - Burndy,98091b,98091B
CLND-1-14-34 - Ilsco,98091b,98091B
CLND-1-516-78 - Ilsco,98091c,98091C
YA1C2N - Burndy,98093,98093
CLND-1-12-134 - Ilsco,98093,98093
CLND-1/0-516-78 - Ilsco,98094,98094
YA252TC38 - Burndy,98095,98095
CLND-1/0-38-1 - Ilsco,98095,98095
YA252TC14 - Burndy,98095a,98095A
CLND-1/0-14-58 - Ilsco,98095a,98095A
YA252NTC38 - Burndy,98095c,98095C
CLND-1/0-38-134 - Ilsco,98095c,98095C
YA252N - Burndy,98096,98096
CLND-1/0-12-134 - Ilsco,98096,98096
YA262TC38 - Burndy,98097,98097
CLND-2/0-3/8-1 - Ilsco,98097,98097
YA262TC14E2 - Burndy,98097a,98097A
CLND-2/0-14-34 - Ilsco,98097a,98097A
YA262TC14 - Burndy,98097b,98097B
CLND-2/0-14-58 - Ilsco,98097b,98097B
CLND-2/0-14-1 - Ilsco,98097c,98097C
CLND-2/0-38-134 - Ilsco,98097d,98097D
YA262N - Burndy,98098,98098
CLND-2/0-12-134 - Ilsco,98098,98098
CLND-3/0-516-1 - Ilsco,98099,98099
YA272TC38 - Ilsco,98099a,98099A
CLND-3/0-38-1 - Ilsco,98099a,98099A
CLND-3/0-14-58 - Ilsco,98099c,98099C
YA272N - Burndy,98100a,98100A
CLND-3/0-12-134 - Ilsco,98100a,98100A
YA282TC38 - Burndy,98101,98101
CLND-4/0-38-1 - Ilsco,98101,98101
YA282TC14E2 - Burndy,98101a,98101A
CLND-4/0-14-34 - Ilsco,98101a,98101A
YA282NTC38 - Burndy,98101b,98101B
CLND-4/0-38-134 - Ilsco,98101b,98101B
CLND-4/0-14-58 - Ilsco,98101c,98101C
YA282N - Burndy,98102,98102
CLND-4/0-12-134 - Ilsco,98102,98102
YA292N - Burndy,98104,98104
CLND-250-12-134 - Ilsco,98104,98104
YA302N - Burndy,98105,98105
CLND-300-12-134 - Ilsco,98105,98105
YA312TC38 - Burndy,98106a,98106A
CLND-350-3/8-1 - Ilsco,98106a,98106A
YA322N - Burndy,98107,98107
CLND-400-12-134 - Ilsco,98107,98107
YA342N - Burndy,98108,98108
CLND-500-12-134 - Ilsco,98108,98108
YA342TC38 - Burndy,98108a,98108A
CLND-500-38-1 - Ilsco,98108a,98108A
YA362TC38 - Burndy,98109,98109
CLND-600-12-134 - Ilsco,98109,98109
YA362N - Burndy,98109a,98109A
CLND-600-38-1 - Ilsco,98109a,98109A
YA392N - Burndy,98110,98110
CLND-750-12-134 - Ilsco,98110,98110
YA392TC38 - Burndy,98110a,98110A
CLND-750-38-1 - Ilsco,98110a,98110A
YA442N - Burndy,98110b,98110B
YS8C-L-BOX - Burndy,98111,98111
CT-8 - Ilsco,98111,98111
YS6C-L-BOX - Burndy,98112,98112
CT-6 - Ilsco,98112,98112
YS4C-L-BOX - Burndy,98113,98113
CT-4 - Ilsco,98113,98113
YS3C-L-BOX - Burndy,98113a,98113A
CT-3 - Ilsco,98113a,98113A
CLND-1000-12-134 - Ilsco,98110b,98110B
YS2C-L-BOX - Burndy,98114,98114
CT-2 - Ilsco,98114,98114
YS1C-L-BOX - Burndy,98115,98115
CT-1 - Ilsco,98115,98115
YS25-L-BOX - Burndy,98116,98116
CT-1/0 - Ilsco,98116,98116
YS26-L-BOX - Burndy,98117,98117
CT-2/0 - Ilsco,98117,98117
YS27-L-BOX - Burndy,98118,98118
CT-3/0 - Ilsco,98118,98118
YS28-L-BOX - Burndy,98119,98119
CT-4/0 - Ilsco,98119,98119
YS29-L-BOX - Burndy,98120,98120
CT-250 - Ilsco,98120,98120
YS30-L - Burndy,98121,98121
CT-300 - Ilsco,98121,98121
CT-350 - Ilsco,98122,98122
YS31-L - Burndy,98122,98122
YS32-L - Burndy,98123,98123
CT-400 - Ilsco,98123,98123
YS34-L - Burndy,98124,98124
CT-500 - Ilsco,98124,98124
YS36-L - Burndy,98125,98125
CT-600 - Ilsco,98125,98125
YS39-L - Burndy,98126,98126
CT-750 - Ilsco,98126,98126
YS8C - Burndy,98127,98127
CTL-8 - Ilsco,98127,98127
YS6C - Burndy,98128,98128
CTL-6 - Ilsco,98128,98128
YS4C - Burndy,98129,98129
CTL-4 - Ilsco,98129,98129
YS2C - Burndy,98130,98130
CTL-2 - Ilsco,98130,98130
YS1C - Burndy,98131,98131
CTL-1 - Ilsco,98131,98131
YS25 - Burndy,98132,98132
CTL-1/0 - Ilsco,98132,98132
YS26 - Burndy,98133,98133
BBCU-2/0 - Penn Union,98133,98133
YS27 - Burndy,98134,98134
CTL-3/0 - Ilsco,98134,98134
YS28 - Burndy,98135,98135
